Qw,Qx,Qy,Qz,Ax,Ay,Az
1.401298464324817e-45,1.401298464324817e-45,0.0,-2.8735182454018313e-16,86,-535,861
-0.1005859375,-0.25341796875,0.81640625,0.5090605616569519,85,-530,865
-0.10052490234375,-0.25341796875,0.81640625,0.5090726017951965,88,-530,866
-0.1004638671875,-0.253662109375,0.81640625,0.5089630484580994,89,-535,861
-0.1004638671875,-0.25390625,0.81640625,0.508841335773468,86,-538,860
-0.1005859375,-0.254150390625,0.81640625,0.5086953043937683,86,-538,863
-0.1005859375,-0.25439453125,0.81640625,0.5085732340812683,91,-539,863
-0.10052490234375,-0.254638671875,0.81640625,0.5084630846977234,95,-536,866
-0.10040283203125,-0.2548828125,0.81640625,0.5083649158477783,95,-533,872
-0.10028076171875,-0.2548828125,0.81591796875,0.509172260761261,95,-531,867
-0.10009765625,-0.2548828125,0.81591796875,0.5092082619667053,97,-529,870
-0.0999755859375,-0.255126953125,0.81591796875,0.5091100335121155,97,-525,864
-0.09979248046875,-0.255126953125,0.81591796875,0.5091459155082703,98,-524,864
-0.09967041015625,-0.25537109375,0.8154296875,0.5098292231559753,98,-522,863
-0.0994873046875,-0.25537109375,0.8154296875,0.5098649859428406,102,-518,867
-0.0992431640625,-0.255615234375,0.8154296875,0.5097902417182922,101,-514,855
-0.09912109375,-0.256103515625,0.8154296875,0.5095688700675964,101,-517,842
-0.0989990234375,-0.25634765625,0.8154296875,0.5094698071479797,103,-519,840
-0.0989990234375,-0.2568359375,0.81494140625,0.5100049376487732,97,-522,835
-0.09893798828125,-0.257080078125,0.81494140625,0.5098937749862671,93,-523,841
-0.09881591796875,-0.25732421875,0.81494140625,0.509794294834137,94,-512,848
-0.09857177734375,-0.25732421875,0.81494140625,0.5098415017127991,106,-506,851
-0.09814453125,-0.257568359375,0.81494140625,0.5098006725311279,114,-505,843
-0.09796142578125,-0.257568359375,0.814453125,0.5106155276298523,107,-510,834
-0.097900390625,-0.2578125,0.814453125,0.5105040073394775,99,-509,840
-0.09796142578125,-0.258056640625,0.814453125,0.5103689432144165,96,-515,832
-0.09814453125,-0.25830078125,0.814453125,0.5102102160453796,93,-531,819
-0.09814453125,-0.258544921875,0.814453125,0.5100865364074707,96,-523,829
-0.097900390625,-0.258544921875,0.814453125,0.5101334452629089,105,-514,837
-0.09747314453125,-0.258544921875,0.81396484375,0.5109938383102417,110,-499,826
-0.0970458984375,-0.258544921875,0.81396484375,0.5110751986503601,123,-519,848
-0.09686279296875,-0.2587890625,0.81396484375,0.5109863877296448,115,-500,833
-0.09686279296875,-0.2587890625,0.81396484375,0.5109863877296448,107,-529,823
-0.09698486328125,-0.259033203125,0.81396484375,0.5108395218849182,109,-510,828
-0.09674072265625,-0.25927734375,0.8134765625,0.5115392208099365,118,-492,833
-0.0963134765625,-0.259521484375,0.8134765625,0.5114960670471191,129,-493,820
-0.09600830078125,-0.260009765625,0.81298828125,0.5120814442634583,134,-492,814
-0.09576416015625,-0.26025390625,0.81298828125,0.5120031237602234,134,-493,819
-0.0958251953125,-0.260498046875,0.81298828125,0.5118675231933594,119,-503,820
-0.09600830078125,-0.260498046875,0.81298828125,0.5118332505226135,107,-506,823
-0.09600830078125,-0.260498046875,0.81298828125,0.5118332505226135,109,-504,834
-0.095703125,-0.26025390625,0.81298828125,0.5120145082473755,121,-496,840
-0.0953369140625,-0.26025390625,0.8125,0.5128572583198547,121,-499,847
-0.09527587890625,-0.260009765625,0.81298828125,0.512218177318573,109,-507,853
-0.09552001953125,-0.260009765625,0.81298828125,0.5121726989746094,99,-519,849
-0.0958251953125,-0.260009765625,0.81298828125,0.5121157169342041,101,-531,843
-0.09613037109375,-0.260009765625,0.8134765625,0.5112824440002441,99,-540,837
-0.0963134765625,-0.260009765625,0.8134765625,0.511247992515564,90,-544,846
-0.09649658203125,-0.259765625,0.8134765625,0.5113375782966614,89,-539,852
-0.096435546875,-0.259521484375,0.81396484375,0.5106956362724304,102,-539,853
-0.09625244140625,-0.259521484375,0.81396484375,0.5107301473617554,111,-543,855
-0.09625244140625,-0.259521484375,0.81396484375,0.5107301473617554,98,-560,850
-0.09649658203125,-0.25927734375,0.81396484375,0.5108081102371216,84,-568,865
-0.09661865234375,-0.259033203125,0.814453125,0.5101301074028015,85,-561,882
-0.096435546875,-0.258544921875,0.814453125,0.5104123950004578,94,-559,882
-0.09619140625,-0.25830078125,0.814453125,0.5105820298194885,104,-555,887
-0.0958251953125,-0.258056640625,0.81396484375,0.511552095413208,109,-547,889
-0.095703125,-0.258056640625,0.81396484375,0.511574923992157,108,-552,886
-0.09588623046875,-0.25830078125,0.81396484375,0.5114174485206604,96,-563,874
-0.0963134765625,-0.258544921875,0.81396484375,0.5112137198448181,91,-571,859
-0.09674072265625,-0.259033203125,0.81396484375,0.5108857750892639,91,-568,852
-0.0968017578125,-0.25927734375,0.81396484375,0.5107503533363342,97,-555,847
-0.0965576171875,-0.259521484375,0.8134765625,0.5114499926567078,109,-546,842
-0.09625244140625,-0.260009765625,0.81298828125,0.512035608291626,120,-537,827
-0.09600830078125,-0.26025390625,0.81298828125,0.5119573473930359,118,-533,824
-0.09600830078125,-0.2607421875,0.8125,0.5124837756156921,107,-540,817
-0.09619140625,-0.260986328125,0.8125,0.5123251676559448,102,-545,810
-0.0963134765625,-0.261474609375,0.81201171875,0.5128272175788879,105,-539,816
-0.09619140625,-0.261474609375,0.8115234375,0.5136224031448364,113,-528,826
-0.095947265625,-0.26171875,0.81103515625,0.5143144726753235,115,-517,824
-0.0958251953125,-0.26171875,0.81103515625,0.5143372416496277,118,-520,817
-0.09588623046875,-0.26220703125,0.810546875,0.514846682548523,118,-526,806
-0.09613037109375,-0.2626953125,0.81005859375,0.5153204798698425,110,-534,804
-0.0965576171875,-0.262939453125,0.81005859375,0.5151160359382629,94,-546,796
-0.096923828125,-0.26318359375,0.81005859375,0.514922559261322,98,-548,805
-0.09698486328125,-0.26318359375,0.8095703125,0.5156784057617188,109,-533,815
-0.09674072265625,-0.26318359375,0.80908203125,0.5164899826049805,112,-528,825
-0.09649658203125,-0.26318359375,0.80859375,0.5172997117042542,111,-523,829
-0.0965576171875,-0.26318359375,0.80859375,0.517288327217102,111,-527,825
-0.09686279296875,-0.26318359375,0.80810546875,0.5179938077926636,106,-539,820
-0.09747314453125,-0.263427734375,0.80810546875,0.5177550911903381,88,-548,816
-0.0980224609375,-0.263427734375,0.8076171875,0.5184128880500793,83,-543,826
-0.0982666015625,-0.263427734375,0.80712890625,0.5191265940666199,98,-530,825
-0.0982666015625,-0.263427734375,0.806640625,0.5198850035667419,114,-523,818
-0.0982666015625,-0.263427734375,0.80615234375,0.5206418037414551,106,-531,811
-0.09857177734375,-0.263427734375,0.80615234375,0.5205841064453125,99,-530,818
-0.09893798828125,-0.263427734375,0.8056640625,0.5212701559066772,94,-541,809
-0.09930419921875,-0.26318359375,0.80517578125,0.5220775604248047,103,-548,825
-0.099365234375,-0.26318359375,0.8046875,0.5228183269500732,101,-531,823
-0.0992431640625,-0.2626953125,0.8046875,0.5230870246887207,111,-536,838
-0.0989990234375,-0.262451171875,0.8037109375,0.524754524230957,125,-513,851
-0.0987548828125,-0.262451171875,0.80322265625,0.5255475640296936,129,-521,843
-0.098876953125,-0.26220703125,0.80322265625,0.525646448135376,121,-533,840
-0.09930419921875,-0.26220703125,0.802734375,0.5263113379478455,107,-532,848
-0.0997314453125,-0.261962890625,0.80224609375,0.5270960927009583,101,-536,851
-0.0999755859375,-0.26171875,0.8017578125,0.5279134511947632,115,-528,864
-0.09991455078125,-0.261474609375,0.80126953125,0.5287865996360779,120,-527,862
-0.0999755859375,-0.26123046875,0.80078125,0.5296347141265869,117,-524,872
-0.10009765625,-0.260986328125,0.80029296875,0.5304693579673767,110,-520,867
-0.10028076171875,-0.260986328125,0.7998046875,0.5311707854270935,119,-522,864
-0.10040283203125,-0.260986328125,0.79931640625,0.5318821668624878,116,-527,858
-0.1007080078125,-0.260986328125,0.798828125,0.5325576663017273,109,-537,851
-0.10101318359375,-0.260986328125,0.798828125,0.5324998497962952,108,-527,855
-0.10101318359375,-0.2607421875,0.7978515625,0.534081220626831,116,-521,855
-0.10076904296875,-0.2607421875,0.79736328125,0.5348560214042664,125,-513,859
-0.10052490234375,-0.260498046875,0.796875,0.5357478260993958,129,-509,861
-0.100341796875,-0.26025390625,0.79638671875,0.5366261601448059,127,-508,869
-0.10015869140625,-0.260009765625,0.7958984375,0.5375024080276489,125,-498,870
-0.09991455078125,-0.259765625,0.79541015625,0.5383879542350769,129,-504,874
-0.09967041015625,-0.259521484375,0.794921875,0.539271354675293,132,-493,874
-0.09942626953125,-0.25927734375,0.79443359375,0.5401527285575867,128,-499,867
-0.0992431640625,-0.259033203125,0.7939453125,0.5410207509994507,125,-498,872
-0.0989990234375,-0.2587890625,0.79345703125,0.5418979525566101,125,-487,868
-0.09869384765625,-0.258544921875,0.79296875,0.5427841544151306,132,-498,864
-0.098388671875,-0.25830078125,0.79248046875,0.5436681509017944,136,-493,855
-0.09814453125,-0.25830078125,0.79248046875,0.543712317943573,132,-497,852
-0.0980224609375,-0.258056640625,0.7919921875,0.5445610880851746,129,-501,857
-0.097900390625,-0.258056640625,0.79150390625,0.5452924370765686,128,-498,854
-0.0977783203125,-0.2578125,0.791015625,0.5461377501487732,129,-503,845
-0.09759521484375,-0.2578125,0.79052734375,0.5468769669532776,137,-493,846
-0.09735107421875,-0.2578125,0.79052734375,0.5469204187393188,140,-489,840
-0.09722900390625,-0.257568359375,0.7900390625,0.5477620959281921,138,-498,834
-0.09722900390625,-0.257568359375,0.78955078125,0.5484657287597656,134,-498,829
-0.09722900390625,-0.257568359375,0.7890625,0.5491679310798645,134,-499,831
-0.09710693359375,-0.25732421875,0.78857421875,0.5500047206878662,140,-496,832
-0.096923828125,-0.257080078125,0.7880859375,0.5508503913879395,143,-492,835
-0.0968017578125,-0.2568359375,0.7880859375,0.5509857535362244,137,-499,832
-0.096923828125,-0.2568359375,0.78759765625,0.551662027835846,135,-504,834
-0.09698486328125,-0.2568359375,0.787109375,0.5523477792739868,132,-506,831
-0.09716796875,-0.256591796875,0.787109375,0.5524290800094604,132,-514,836
-0.0972900390625,-0.256591796875,0.78662109375,0.5531026721000671,131,-514,843
-0.097412109375,-0.25634765625,0.78662109375,0.5531943440437317,132,-518,842
-0.0975341796875,-0.25634765625,0.7861328125,0.5538665652275085,131,-519,848
-0.09765625,-0.256103515625,0.78564453125,0.5546502470970154,127,-514,848
-0.09783935546875,-0.256103515625,0.78515625,0.555308997631073,128,-513,840
-0.0980224609375,-0.256103515625,0.78466796875,0.5559665560722351,134,-515,830
-0.0982666015625,-0.25634765625,0.78466796875,0.5558108687400818,137,-519,821
-0.09881591796875,-0.2568359375,0.7841796875,0.5561770796775818,127,-533,808
-0.0994873046875,-0.257080078125,0.78369140625,0.5566326379776001,114,-539,802
-0.0999755859375,-0.257080078125,0.78369140625,0.5565451383590698,117,-533,813
-0.1002197265625,-0.257080078125,0.783203125,0.5571882128715515,133,-525,818
-0.1002197265625,-0.257080078125,0.7822265625,0.5585584044456482,141,-522,824
-0.10028076171875,-0.2568359375,0.78173828125,0.5593427419662476,138,-522,835
-0.10052490234375,-0.2568359375,0.78125,0.5599808096885681,136,-522,841
-0.1009521484375,-0.2568359375,0.78076171875,0.5605846047401428,135,-530,842
-0.10150146484375,-0.2568359375,0.78076171875,0.5604854226112366,129,-538,844
-0.10205078125,-0.2568359375,0.7802734375,0.5610653162002563,124,-532,847
-0.10247802734375,-0.2568359375,0.779296875,0.5623432397842407,133,-523,847
-0.1026611328125,-0.2568359375,0.77880859375,0.5629859566688538,142,-521,841
-0.1029052734375,-0.257080078125,0.7783203125,0.5635049343109131,140,-525,831
-0.10333251953125,-0.25732421875,0.77783203125,0.5639893412590027,130,-527,827
-0.1038818359375,-0.257568359375,0.77734375,0.5644500255584717,130,-527,825
-0.1041259765625,-0.2578125,0.77685546875,0.564965546131134,141,-522,825
-0.10430908203125,-0.258056640625,0.7763671875,0.565491259098053,143,-522,823
-0.10443115234375,-0.258056640625,0.77587890625,0.566138505935669,140,-519,835
-0.10455322265625,-0.2578125,0.775390625,0.5668956637382507,136,-509,843
-0.10467529296875,-0.2578125,0.77490234375,0.5675404667854309,138,-513,847
-0.10491943359375,-0.257568359375,0.7744140625,0.5682722330093384,134,-510,843
-0.10504150390625,-0.257568359375,0.77392578125,0.5689144730567932,136,-513,847
-0.1051025390625,-0.25732421875,0.7734375,0.5696772336959839,143,-506,846
-0.1051025390625,-0.25732421875,0.7724609375,0.5710006952285767,144,-511,841
-0.105224609375,-0.25732421875,0.77197265625,0.5716382265090942,141,-518,845
-0.10552978515625,-0.257080078125,0.77197265625,0.5716918110847473,133,-523,846
-0.10577392578125,-0.2568359375,0.771484375,0.5724150538444519,124,-521,850
-0.1058349609375,-0.256591796875,0.77099609375,0.5731707215309143,128,-505,863
-0.105712890625,-0.256103515625,0.7705078125,0.5740674734115601,143,-516,861
-0.105712890625,-0.255859375,0.77001953125,0.5748310089111328,135,-505,863
-0.10595703125,-0.255615234375,0.76953125,0.5755481123924255,117,-517,866
-0.10614013671875,-0.255126953125,0.76904296875,0.5763830542564392,124,-511,865
-0.106201171875,-0.255126953125,0.7685546875,0.5770227313041687,143,-503,857
-0.10626220703125,-0.2548828125,0.76806640625,0.5777691006660461,140,-515,854
-0.1065673828125,-0.2548828125,0.767578125,0.578361451625824,123,-517,853
-0.1070556640625,-0.254638671875,0.767578125,0.5783788561820984,116,-517,850
-0.107421875,-0.254638671875,0.76708984375,0.5789584517478943,119,-520,851
-0.107666015625,-0.25439453125,0.7666015625,0.5796667337417603,120,-509,854
-0.10791015625,-0.254150390625,0.76611328125,0.5803735256195068,120,-514,854
