10116,0.9948,-0.0410,-0.0622,0.0688,124,-112,986
10125,0.9948,-0.0407,-0.0622,0.0690,110,-127,990
10133,0.9949,-0.0400,-0.0620,0.0692,126,-131,1008
10141,0.9949,-0.0392,-0.0623,0.0691,143,-127,1033
10150,0.9949,-0.0386,-0.0623,0.0691,154,-101,1033
10158,0.9949,-0.0375,-0.0624,0.0692,161,-100,1051
10166,0.9950,-0.0364,-0.0624,0.0693,168,-102,1026
10175,0.9950,-0.0357,-0.0624,0.0696,163,-101,1046
10183,0.9950,-0.0348,-0.0622,0.0700,163,-91,1033
10192,0.9950,-0.0337,-0.0621,0.0701,169,-82,1044
10200,0.9951,-0.0326,-0.0618,0.0701,177,-58,1020
10208,0.9951,-0.0315,-0.0615,0.0704,177,-27,1007
10217,0.9952,-0.0306,-0.0611,0.0707,178,-39,1024
10225,0.9952,-0.0293,-0.0605,0.0712,160,-56,1019
10233,0.9952,-0.0281,-0.0598,0.0718,147,-79,1007
10242,0.9953,-0.0268,-0.0594,0.0721,123,-121,1035
10250,0.9953,-0.0256,-0.0592,0.0724,141,-124,1042
10258,0.9953,-0.0239,-0.0593,0.0724,141,-104,1064
10267,0.9954,-0.0215,-0.0593,0.0723,150,-56,1029
10275,0.9954,-0.0191,-0.0590,0.0725,148,-25,1053
10284,0.9955,-0.0169,-0.0584,0.0728,159,5,1018
10291,0.9955,-0.0154,-0.0576,0.0733,133,-14,1051
10300,0.9956,-0.0134,-0.0562,0.0740,139,-23,1044
10309,0.9956,-0.0113,-0.0556,0.0743,122,5,1016
10317,0.9957,-0.0087,-0.0547,0.0742,109,19,978
10325,0.9958,-0.0058,-0.0538,0.0741,105,37,949
10333,0.9959,-0.0029,-0.0528,0.0740,99,53,959
10342,0.9959,0.0001,-0.0520,0.0742,82,83,923
10350,0.9959,0.0026,-0.0509,0.0748,78,76,884
10359,0.9959,0.0050,-0.0507,0.0753,68,85,876
10367,0.9958,0.0070,-0.0504,0.0757,72,94,882
10375,0.9958,0.0090,-0.0501,0.0763,76,102,882
10384,0.9957,0.0106,-0.0497,0.0768,72,110,888
10392,0.9957,0.0118,-0.0493,0.0775,96,122,849
10400,0.9957,0.0127,-0.0488,0.0782,43,107,927
10409,0.9956,0.0137,-0.0481,0.0789,61,82,891
10417,0.9956,0.0139,-0.0481,0.0797,44,50,910
10425,0.9955,0.0139,-0.0478,0.0806,44,37,926
10434,0.9955,0.0138,-0.0477,0.0812,51,40,924
10442,0.9954,0.0138,-0.0473,0.0818,72,37,979
10451,0.9954,0.0134,-0.0466,0.0823,71,54,992
10459,0.9954,0.0125,-0.0461,0.0829,134,77,1059
10467,0.9954,0.0099,-0.0453,0.0834,142,58,1083
10476,0.9954,0.0081,-0.0453,0.0836,124,7,1099
10485,0.9954,0.0073,-0.0451,0.0842,122,30,1055
10493,0.9954,0.0079,-0.0454,0.0844,150,66,1068
10500,0.9953,0.0094,-0.0460,0.0844,177,109,1082
10509,0.9953,0.0108,-0.0467,0.0844,192,148,1046
10517,0.9952,0.0120,-0.0474,0.0843,154,74,1052
10526,0.9952,0.0115,-0.0474,0.0846,135,14,1071
10535,0.9952,0.0104,-0.0472,0.0852,105,-42,1098
